Company Name,Assigned To,Account Type,Prospect Score,Account Notes,Drop Notes,Website,LinkedIn URL,Revenue Estimate,Employees,Head Office,Country,Segmentation,Activity,Generation,Interests,Location,SalesforceID,DropNotes,Account Notes
Cypress Corporation,Taylor Smith,Prospect,62,Referred by analyst,Lost to competition,www.king.com,https://linkedin.com/company/973,$25 mil. - $50 mil.,226,"Taylorstad, North Carolina",United States,Enterprise,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Momentum Technologies,Jordan Green,Suspect,77,Top 10 account,Lost to competition,www.cross.com,https://linkedin.com/company/128,$100 mil. - $250 mil.,1297,"Jacksonmouth, Connecticut",Canada,SMB,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Everest Services,Jordan Green,Customer,88,Nurture in Q3,Nurture,www.ramirez.com,https://linkedin.com/company/100,$25 mil. - $50 mil.,1508,"West William, Wisconsin",Canada,SMB,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Greenleaf Technologies,Avery Reid,Suspect,88,Referred by analyst,Out of territory,www.vang-kelley.com,https://linkedin.com/company/733,$10 mil. - $25 mil.,1593,"Anthonyhaven, Rhode Island",Germany,Mid-Market,1,1,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Pinnacle Consulting,Morgan Lee,Customer,82,Top 10 account,Out of territory,www.howard.com,https://linkedin.com/company/134,$50 mil. - $100 mil.,1524,"New Luke, Illinois",Germany,Enterprise,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Vertex Corporation,Taylor Smith,Prospect,69,VC-backed,Budget freeze,www.thomas.com,https://linkedin.com/company/938,$50 mil. - $100 mil.,983,"Duaneview, Louisiana",United Kingdom,SMB,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Silverline Solutions,Taylor Smith,Suspect,90,Nurture in Q3,Out of territory,www.vargas-morgan.com,https://linkedin.com/company/502,$100 mil. - $250 mil.,1147,"Wilsonmouth, Maine",United Kingdom,Enterprise,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
NexGen Networks,Morgan Lee,Customer,89,Upsell potential,Out of territory,www.nguyen.com,https://linkedin.com/company/133,$100 mil. - $250 mil.,1350,"Thompsonside, Mississippi",France,Enterprise,5,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Momentum Innovations,Taylor Smith,Customer,70,Upsell potential,Out of territory,www.smith.com,https://linkedin.com/company/925,$50 mil. - $100 mil.,1479,"Holdenbury, Massachusetts",Germany,Enterprise,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Valiant Corporation,Morgan Lee,Customer,76,Needs follow up,Lost to competition,www.guzman.com,https://linkedin.com/company/545,$100 mil. - $250 mil.,1103,"Seanfort, Oregon",Germany,Enterprise,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Summit Technologies,Blake Davis,Prospect,72,Repeat outreach,Wrong fit,www.taylor.com,https://linkedin.com/company/367,$100 mil. - $250 mil.,494,"Justinstad, Nebraska",United States,Mid-Market,7,7,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Vanguard Corporation,Sydney Wong,Suspect,72,New lead,Do not call,www.blair.com,https://linkedin.com/company/734,$50 mil. - $100 mil.,244,"Patrickhaven, Vermont",Canada,Enterprise,1,1,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Trinity Innovations,Avery Reid,Suspect,81,Upsell potential,Budget freeze,www.lee.com,https://linkedin.com/company/749,$250 mil. - $500 mil.,969,"South Evanport, Indiana",Australia,Mid-Market,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Quantum Services,Blake Davis,Prospect,63,Budget review pending,Nurture,www.jones.com,https://linkedin.com/company/961,$25 mil. - $50 mil.,1031,"East Michaelland, Iowa",United Kingdom,Mid-Market,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Apex Innovations,Sydney Wong,Prospect,83,Strong pipeline,Out of territory,www.rogers.com,https://linkedin.com/company/498,$250 mil. - $500 mil.,1450,"Port Danielville, North Dakota",Australia,Mid-Market,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Synergy Analytics,Morgan Lee,Customer,84,Budget review pending,Lost to competition,www.bird.com,https://linkedin.com/company/808,$10 mil. - $25 mil.,1566,"Turnershire, South Carolina",United Kingdom,Enterprise,1,1,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Synergy Industries,Avery Reid,Prospect,61,VC-backed,Lost to competition,www.johnson.com,https://linkedin.com/company/293,$50 mil. - $100 mil.,915,"Port Jason, Michigan",France,SMB,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Greenleaf Analytics,Blake Davis,Suspect,86,Upsell potential,Nurture,www.lee.com,https://linkedin.com/company/852,$100 mil. - $250 mil.,490,"Travishaven, North Carolina",Canada,SMB,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Greenleaf Industries,Blake Davis,Customer,80,Repeat outreach,Out of territory,www.allen.com,https://linkedin.com/company/268,$100 mil. - $250 mil.,1449,"Davidborough, Massachusetts",Germany,SMB,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Summit Partners,Jordan Green,Prospect,70,Nurture in Q3,Lost to competition,www.mcguire-wilson.com,https://linkedin.com/company/968,$25 mil. - $50 mil.,1004,"Michelleville, Oklahoma",Australia,Mid-Market,5,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Apex Consulting,Taylor Smith,Customer,89,VC-backed,Lost to competition,www.prince.com,https://linkedin.com/company/801,$100 mil. - $250 mil.,474,"Rileybury, Washington",Canada,Mid-Market,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Everest Partners,Sydney Wong,Customer,79,Repeat outreach,Wrong fit,www.stanley-valenzuela.com,https://linkedin.com/company/302,$50 mil. - $100 mil.,1246,"South Charlesstad, Tennessee",Germany,SMB,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Vanguard Industries,Taylor Smith,Suspect,71,Strong pipeline,Wrong fit,www.bennett-harvey.com,https://linkedin.com/company/124,$50 mil. - $100 mil.,1807,"Jonathanberg, Wisconsin",Canada,Mid-Market,7,7,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Greenleaf Services,Taylor Smith,Suspect,89,Referred by analyst,Do not call,www.moore.com,https://linkedin.com/company/323,$50 mil. - $100 mil.,1111,"Christophertown, Arizona",Australia,Enterprise,1,1,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Silverline Industries,Avery Reid,Customer,86,Needs follow up,Budget freeze,www.palmer-brown.com,https://linkedin.com/company/414,$250 mil. - $500 mil.,231,"Port Loriborough, Nebraska",Australia,SMB,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Premier Innovations,Sydney Wong,Suspect,77,New lead,Budget freeze,www.johnson.com,https://linkedin.com/company/476,$250 mil. - $500 mil.,103,"North Amymouth, Kansas",Canada,Mid-Market,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Pinnacle Solutions,Jordan Green,Suspect,65,Budget review pending,Budget freeze,www.brewer-foley.com,https://linkedin.com/company/595,$10 mil. - $25 mil.,1485,"Floreschester, Arizona",France,SMB,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Valiant Technologies,Blake Davis,Suspect,63,Referred by analyst,Lost to competition,www.anderson.com,https://linkedin.com/company/926,$250 mil. - $500 mil.,1592,"North Brendaton, Iowa",United States,Mid-Market,1,1,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Atlas Technologies,Taylor Smith,Suspect,77,New lead,Do not call,www.price-taylor.com,https://linkedin.com/company/958,$250 mil. - $500 mil.,1660,"East Kimberlymouth, Kentucky",Australia,Mid-Market,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Cypress Consulting,Blake Davis,Customer,73,Repeat outreach,Do not call,www.glass.com,https://linkedin.com/company/530,$100 mil. - $250 mil.,636,"Robertfort, Alaska",France,Enterprise,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Quantum Consulting,Sydney Wong,Suspect,89,Referred by analyst,Do not call,www.diaz.com,https://linkedin.com/company/685,$50 mil. - $100 mil.,541,"North Rebeccaville, Mississippi",Australia,Mid-Market,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Trinity Innovations,Blake Davis,Customer,83,Nurture in Q3,Budget freeze,www.velez.com,https://linkedin.com/company/930,$250 mil. - $500 mil.,1958,"Christopherton, Alaska",United States,Enterprise,5,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Trinity Solutions,Sydney Wong,Customer,62,Nurture in Q3,Wrong fit,www.ramirez.com,https://linkedin.com/company/698,$25 mil. - $50 mil.,215,"West Alexfort, Indiana",Canada,SMB,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Everest Analytics,Sydney Wong,Customer,87,VC-backed,Lost to competition,www.contreras.com,https://linkedin.com/company/720,$25 mil. - $50 mil.,508,"Jonburgh, Colorado",Canada,Enterprise,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Quantum Networks,Taylor Smith,Prospect,72,Needs follow up,Do not call,www.smith.com,https://linkedin.com/company/960,$100 mil. - $250 mil.,1525,"Gonzalezton, South Carolina",United States,Mid-Market,7,7,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Summit Corporation,Sydney Wong,Suspect,72,VC-backed,Lost to competition,www.hawkins-anderson.com,https://linkedin.com/company/990,$10 mil. - $25 mil.,666,"Michellefurt, Vermont",United Kingdom,Enterprise,9,9,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Apex Analytics,Jordan Green,Customer,71,Referred by analyst,Budget freeze,www.olson-miranda.com,https://linkedin.com/company/235,$50 mil. - $100 mil.,849,"Marthatown, Nevada",France,SMB,1,1,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Valiant Consulting,Avery Reid,Customer,75,Nurture in Q3,Do not call,www.rogers-mcclure.com,https://linkedin.com/company/451,$50 mil. - $100 mil.,550,"Autumnmouth, Oregon",France,Mid-Market,2,2,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Everest Analytics,Blake Davis,Suspect,67,Repeat outreach,Do not call,www.dennis.com,https://linkedin.com/company/582,$25 mil. - $50 mil.,716,"Maryborough, Nebraska",Canada,SMB,3,3,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
NexGen Industries,Jordan Green,Suspect,90,VC-backed,Out of territory,www.jacobson.com,https://linkedin.com/company/329,$100 mil. - $250 mil.,1021,"Duaneburgh, South Carolina",United Kingdom,Enterprise,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Momentum Innovations,Morgan Lee,Customer,89,New lead,Wrong fit,www.kennedy.com,https://linkedin.com/company/182,$10 mil. - $25 mil.,1834,"West Veronica, West Virginia",Canada,Mid-Market,5,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Apex Analytics,Jordan Green,Suspect,63,Needs follow up,Wrong fit,www.hurley-bowman.com,https://linkedin.com/company/868,$100 mil. - $250 mil.,752,"West Annettefurt, Idaho",Germany,SMB,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Premier Solutions,Jordan Green,Customer,81,Needs follow up,Nurture,www.johnson.com,https://linkedin.com/company/450,$25 mil. - $50 mil.,1896,"North Barbaramouth, Nebraska",Canada,Mid-Market,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Atlas Innovations,Blake Davis,Suspect,70,Referred by analyst,Out of territory,www.williams.com,https://linkedin.com/company/552,$25 mil. - $50 mil.,598,"Matthewfort, Connecticut",United Kingdom,SMB,7,7,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Atlas Technologies,Blake Davis,Prospect,71,Top 10 account,Lost to competition,www.harris.com,https://linkedin.com/company/781,$250 mil. - $500 mil.,239,"West Wendyside, Arizona",United States,Mid-Market,9,9,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Premier Analytics,Avery Reid,Customer,65,New lead,Budget freeze,www.arnold-johnson.com,https://linkedin.com/company/822,$50 mil. - $100 mil.,253,"Summerville, Florida",Australia,SMB,4,4,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Trinity Analytics,Taylor Smith,Prospect,82,Budget review pending,Nurture,www.sanders.com,https://linkedin.com/company/775,$50 mil. - $100 mil.,298,"New Shawn, New York",Australia,Mid-Market,5,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
NexGen Technologies,Jordan Green,Prospect,63,Upsell potential,Budget freeze,www.cohen.com,https://linkedin.com/company/656,$50 mil. - $100 mil.,1317,"Amberberg, New Mexico",United Kingdom,Mid-Market,5,5,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Aspire Consulting,Blake Davis,Suspect,65,Upsell potential,Nurture,www.riley.com,https://linkedin.com/company/972,$100 mil. - $250 mil.,241,"South Kristin, Texas",Canada,Enterprise,6,6,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Silverline Analytics,Sydney Wong,Prospect,88,Needs follow up,Do not call,www.walker-massey.com,https://linkedin.com/company/641,$25 mil. - $50 mil.,1300,"Lake Jeremyville, Michigan",Australia,Enterprise,7,7,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
Vertex Consulting,Avery Reid,Suspect,72,Upsell potential,Wrong fit,www.barnett.com,https://linkedin.com/company/653,$25 mil. - $50 mil.,797,"Castilloview, California",Canada,Enterprise,9,9,Placeholder,Placeholder,0016g00000A1BCdEFA,Placeholder,Placeholder
